"District.Name","Subdistrict.Name","Facility.Name","Latitude","Longitude","newDist"
"East Khasi Hills","Shella Bholaganj Block","Majai SC",25.16277222,91.74531389,4
"South Garo Hills","Gasuapara Block","Ramchengga SC",25.167472,90.433389,7
"West Jaintia Hills","Amlarem Block","Muktapur SC",25.167833,92.127167,9
"South Garo Hills","Rongara Block","Dambuk Aga SC",25.18,90.72,10
"East Khasi Hills","Shella Bholaganj Block","Sohlap SC",25.18,91.65,4
"East Jaintia Hills","Khliehriat Block","Khaddum SC",25.18,92.48,9
"South West Khasi Hills","Ranikor Block","Maheshkola SC",25.18545,90.974047,10
"South Garo Hills","Rongara Block","Nekora SC",25.187917,90.971889,10
"South Garo Hills","Rongara Block","Balpakram SC",25.188889,90.864472,10
"South West Khasi Hills","Ranikor Block","Gillagora SC",25.19,91.03,10
"South West Khasi Hills","Ranikor Block","Puksora SC",25.19,91.31,8
"East Jaintia Hills","Khliehriat Block","Lama SC",25.19,92.25,9
"South Garo Hills","Rongara Block","Mohadeo St. Dispy",25.191583,90.882667,10
"South Garo Hills","Baghmara Block","Nilwagre SC",25.191889,90.57375,10
"East Khasi Hills","Shella Bholaganj Block","Wahlong SC",25.2,91.72,4
"West Jaintia Hills","Amlarem Block","Syndai SC",25.2,92.13,9
"West Jaintia Hills","Amlarem Block","Tarangblang SC",25.2,92.19,9
"East Jaintia Hills","Khliehriat Block","Ummat SC",25.2,92.26,9
"South Garo Hills","Gasuapara Block","Jatrakona SC",25.202083,90.29375,7
"South Garo Hills","Gasuapara Block","Gasuapara SC",25.202472,90.340583,7
"South Garo Hills","Baghmara Block","Emangre SC",25.21,90.59,10
"East Khasi Hills","Shella Bholaganj Block","Laityra SC",25.21,91.73,4
"East Khasi Hills","Pynursla Block","Nongtyngur SC",25.21,91.93,4
"West Jaintia Hills","Amlarem Block","Sohkha SC",25.21,92.05,9
"West Jaintia Hills","Amlarem Block","Darrang SC",25.21,92.01,9
"South West Khasi Hills","Ranikor Block","Khonjoy SC",25.21,91.06,10
"South West Khasi Hills","Ranikor Block","Nonghyllam SC",25.21,91.16,8
"East Jaintia Hills","Khliehriat Block","Chiehruphi SC",25.21,92.37,9
"East Khasi Hills","Mawsynram Block","Sawsymper SC",25.22,91.55,4
"East Khasi Hills","Shella Bholaganj Block","Mustoh SC",25.22,91.65,4
"East Khasi Hills","Mawsynram Block","Nongtrai SC",25.22,91.6,4
"West Jaintia Hills","Amlarem Block","Lamin SC",25.22,92.01,9
"South Garo Hills","Gasuapara Block","Dimapara SC",25.229333,90.249083,7
"East Khasi Hills","Mawsynram Block","Lawbah SC",25.23,91.58,4
"East Jaintia Hills","Saipung Block","Muallian SC",25.23,92.49,9
"East Jaintia Hills","Saipung Block","Ryngkoh SC",25.23,92,4
"West Garo Hills","Dalu Block","Sesengpara SC",25.234,90.1236,11
"South Garo Hills","Baghmara Block","Mindikgre SC",25.24,90.56,10
"East Khasi Hills","Shella Bholaganj Block","Tyrna SC",25.24,91.74,4
